"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"4156","Semanal","No consume","Diario","No consume","Quincenal","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","No consume"
"4157","No consume","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Diario","Semanal","No consume"
"4158","Semanal","Semanal","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","Semanal","Semanal","Diario","Quincenal","Semanal"
"4159","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Mensual","Mensual","Semanal","No consume"
"4160","No consume","Semanal","Semanal","No consume","No consume","Quincenal","Quincenal","No consume","No consume","No consume","No consume","No consume","No consume"
"4161","Diario","Semanal","No consume","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","No consume","Semanal","No consume"
"4162","Semanal","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","Quincenal"
"4163","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Mensual","Mensual","Mensual","Mensual"
"4164","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Quincenal","Semanal"
"4165","Diario","Diario","Diario","No consume","Diario","Semanal","Diario","Diario","Diario","Mensual","Mensual","No consume","Mensual"
"4166","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Diario","Quincenal","No consume"
"4167","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal","Quincenal","Semanal","Mensual","Quincenal","Quincenal","Mensual"
"4168","Semanal","No consume","Diario","No consume","Diario","Semanal","Semanal","Semanal","Diario","Mensual","Quincenal","Quincenal","No consume"
"4169","Diario","Diario","Diario","No consume","Semanal","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Diario","No consume"
"4170","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Mensual","Diario","Semanal","Mensual","Mensual","Mensual","Mensual"
"4171","Semanal","Quincenal","Diario","Quincenal","Semanal","Semanal","Semanal","Semanal","Semanal","Mensual","Semanal","Quincenal","Quincenal"
"4172","Diario","Diario","Quincenal","Quincenal","Diario","Diario","Quincenal","Diario","Diario","No consume","No consume","No consume","No consume"
"4173","Semanal","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Quincenal"
"4174","Diario","Semanal","Semanal","Mensual","Semanal","Semanal","Semanal","Diario","Diario","No consume","No consume","Mensual","No consume"
"4175","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Diario","Semanal","Diario","Diario","Diario"
"4176","Diario","Diario","Semanal","Quincenal","Semanal","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"4177","Mensual","Mensual","Mensual","Mensual","Mensual","Quincenal","Mensual","Quincenal","Quincenal","Quincenal","Mensual","Mensual","Mensual"
"4178","Semanal","Semanal","Diario","No consume","Diario","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","Mensual","Semanal"
"4179","Diario","Diario","Semanal","Quincenal","Diario","Diario","Diario","Diario","Semanal","Quincenal","Semanal","Semanal","Mensual"
"4180","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Semanal","Quincenal","Semanal","Diario","Semanal"
"4181","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"4182","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Quincenal","Mensual","Mensual","No consume"
"4183","Diario","Diario","Semanal","Quincenal","Diario","Quincenal","Quincenal","Diario","Diario","Mensual","Mensual","Mensual","No consume"
