"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"112","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","No consume","Semanal","Quincenal","Mensual"
"113","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"114","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Quincenal","No consume","Quincenal","Quincenal"
"115","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Diario","Semanal","Mensual"
"116","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario"
"117","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Diario","Semanal","Mensual","Semanal","Semanal","Mensual"
"118","Quincenal","Mensual","Diario","Mensual","Diario","Semanal","Semanal","Mensual","Semanal","Mensual","Quincenal","Quincenal","Mensual"
"119","Semanal","Quincenal","Semanal","Mensual","No consume","Semanal","Semanal","Quincenal","Mensual","Mensual","No consume","No consume","No consume"
"120","Diario","Diario","Diario","No consume","Quincenal","Quincenal","Semanal","Diario","Diario","Mensual","No consume","Mensual","Mensual"
"121","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Mensual"
"122","Diario","Semanal","Diario","No consume","Diario","Diario","Diario","Diario","Semanal","No consume","No consume","No consume","No consume"
"123","Quincenal","Mensual","Diario","Quincenal","Semanal","Diario","Semanal","Quincenal","Diario","No consume","No consume","No consume","No consume"
"124","Semanal","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal"
"125","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Diario","Diario","Semanal","Mensual","Quincenal","Quincenal"
"126","Diario","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Quincenal","Quincenal","Semanal","Semanal"
"127","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Diario","Diario","Semanal","Diario","Mensual","No consume"
"128","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Diario","Diario"
"129","Diario","Diario","Semanal","No consume","Semanal","Quincenal","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","Quincenal"
"130","Diario","Semanal","Semanal","Quincenal","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Quincenal","Quincenal","No consume"
"131","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal"
"132","Diario","Diario","Diario","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","No consume"
"133","Mensual","Semanal","Diario","No consume","Diario","Diario","Diario","Diario","Diario","No consume","Mensual","No consume","No consume"
"134","Semanal","Diario","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","No consume"
"135","Semanal","Quincenal","Diario","Semanal","Quincenal","Semanal","Quincenal","Quincenal","Semanal","Mensual","Semanal","Semanal","Semanal"
"136","Diario","Diario","Diario","Mensual","Semanal","Semanal","Semanal","Semanal","Diario","Mensual","Mensual","No consume","No consume"
"137","Diario","Semanal","Diario","Diario","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Quincenal","Semanal"
"138","Semanal","Semanal","Semanal","Semanal","No consume","Semanal","Diario","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"139","Diario","Diario","Diario","Semanal","No consume","Semanal","Diario","Semanal","Diario","Quincenal","No consume","Mensual","Quincenal"
"140","Diario","Diario","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Semanal","Quincenal","Quincenal"
"141","Diario","Diario","Diario","Quincenal","Quincenal","Diario","Diario","Diario","Semanal","Quincenal","Semanal","Diario","Quincenal"
"142","Quincenal","Quincenal","Diario","Semanal","Diario","Semanal","Semanal","Quincenal","Quincenal","No consume","No consume","No consume","No consume"
